title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
UNTITLED,-not sold-,"$350,000","$450,000",Signed and Dated,"29.38"" x 41.50""",1974,"wax crayon, graphite, shredded paper, graph paper, paper and tape collage / Paper",109,Sotheby's New York,05/19/2017
UNTITLED,"$396,500","$220,000","$280,000",Signed and Dated,"17.00"" x 19.63""",1964,"graphite, colored pencil and wax crayon / Paper",131,Sotheby's New York,05/19/2017
KLU,"$912,500","$350,000","$450,000",unknown,"40.00"" x 52.00""",1951,oil-based house paint and earth / Canvas,151,Sotheby's New York,05/19/2017
SILEX SCINTILLANS (3 parts),"$8,337,500","$5,000,000","$7,000,000",Signed and Dated,Dimensions not available,1981,"Oil  and wax crayon, colored pencil and graphite / Paper",6,Sotheby's New York,05/18/2017
UNTITLED (ROME),"$3,950,000","$2,000,000","$3,000,000",Signed,"26.38"" x 13.13"" x 10.25""",not given,Resin,19,Sotheby's New York,05/18/2017
Untitled (Rome),"$2,497,500","$2,000,000","$3,000,000",Signed and Dated,"23.25"" x 31.25""",1957,Oil based house paint and graphite / Canvas,524,"Christie's New York, Rockefeller Center",05/18/2017
Dionysus,"$187,500","$100,000","$150,000",Signed and Dated,"39.25"" x 27.63""",1979,"Watercolor  and crayon, graphite and paper collage / Paper",555,"Christie's New York, Rockefeller Center",05/18/2017
Leda and the Swan,"$52,887,500","$35,000,000","$55,000,000",Unavailable,"75.25"" x 78.75""",1962,"Oil  , lead pencil and wax crayon / Canvas",6B,"Christie's New York, Rockefeller Center",05/17/2017
"Natural History, Part I, Mushrooms: No. IV.","$13,750","$8,000","$12,000",Signed Initials,"29.75"" x 21.88""",1974,Color lithograph with mixed-media collage / Paper,63,Swann Galleries,05/11/2017
UNTITLED,"$3,203,430","$851,410","$1,094,670",Signed on Reverse,"27.36"" x 38.78""",1963,"Pencil  , crayon and acrylic / Paper",24,"Sotheby's London, New Bond Street",03/08/2017
Untitled,"$343,500","$250,000","$350,000",Inscribed and Signed,"29.50"" x 42.50""",1963,Crayon  and graphite / Paper,337,"Christie's New York, Rockefeller Center",03/03/2017
Untitled,"$211,500","$150,000","$200,000",Inscribed and Signed,"29.50"" x 42.50""",1963,Crayon  and graphite / Paper,338,"Christie's New York, Rockefeller Center",03/03/2017
UNTITLED,"$314,590","$266,150","$372,610",Signed and Dated,"27.56"" x 39.37""",1960,Pencil / Paper,14,Sotheby's Paris,12/06/2016-12/07/2016
Untitled,"$132,010","$106,460","$159,690",Signed,"33.86"" x 26.38""",not given,Pencil  and wax crayon and biro / Paper,450,Kunsthaus Lempertz,12/03/2016
UNTITLED,"$372,500","$350,000","$450,000",Signed and Dated,"19.63"" x 27.63""",Aug 1960,"Graphite, wax crayon and pen / Paper",130,Sotheby's New York,11/18/2016
UNTITLED (RAMIFICATIONS),-not sold-,"$750,000","$1,000,000",Signed and Dated,"33.25"" x 27.25""",1971,"Oil  , graphite and wax crayon / Paper",145,Sotheby's New York,11/18/2016
UNTITLED (BOLSENA),"$2,952,500","$1,000,000","$1,500,000",Signed and Dated,"27.50"" x 39.38""",1969,Pencil  and wax crayon and felt-tip pen / Paper,35,Sotheby's New York,11/17/2016
UNTITLED,"$4,850,000","$4,000,000","$6,000,000",Signed and Dated,"68.50"" x 78.75""",1960,"Oil paint, lead pencil and wax crayon / Canvas",52,Sotheby's New York,11/17/2016
Untitled,"$2,887,500","$2,500,000","$3,500,000",Signed and Dated,"27.50"" x 39.13""",1971,oil-based house paint and wax crayon on paper / Paper,7a,"Christie's New York, Rockefeller Center",11/15/2016
Green & Red Abstract,$600,"$2,000","$4,000",Signed Lower Right,"11.25"" x 8.00""",not given,Mixed Media / Paper,4132,J Levine Auction & Appraisal LLC,11/05/2016
"Plate I, from: Natural History Part I (Bastian 42)","$4,551","$3,901","$6,500",Signed Initials,"29.84"" x 21.97""",1974,"lithograph, grano-lithograph, collotype in colours, with collage and hand-colouring, / Paper",54,"Christie's London, South Kensington",10/27/2016
"Plate II, from: Natural History Part I (Bastian 43)","$11,380","$3,901","$6,500",Signed Initials,"29.84"" x 21.97""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",55,"Christie's London, South Kensington",10/27/2016
"Plate III, from Natural History Part I (Bastian 44)","$7,800","$3,901","$6,500",unknown,"29.88"" x 21.97""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",56,"Christie's London, South Kensington",10/27/2016
"Plate V, from: Natural History Part I (Bastian 46)","$5,690","$3,901","$6,500",Signed Initials,"29.84"" x 21.97""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",57,"Christie's London, South Kensington",10/27/2016
"Plate VI, from: Natural History Part I (Bastian 47)","$7,800","$3,901","$6,500",Signed Initials,"29.92"" x 21.97""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-coloring / Paper",58,"Christie's London, South Kensington",10/27/2016
"Plate VII, from: Natural History Part I (Bastian 48)","$6,500","$3,901","$6,500",Signed Initials,"29.84"" x 21.89""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",59,"Christie's London, South Kensington",10/27/2016
"Plate IX, from: Natural History Part I (Bastian 50)","$12,190","$3,901","$6,500",Signed Initials,"29.88"" x 22.05""",1974,"lithograph, grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",60,"Christie's London, South Kensington",10/27/2016
"Plate X, from: Natural History Part I (Bastian 51)","$7,310","$3,901","$6,500",Signed Initials,"29.84"" x 21.97""",1974,"grano-lithograph, collotype, photo-chrome in colours, with collage and hand-colouring / Paper",61,"Christie's London, South Kensington",10/27/2016
UNTITLED,"$302,990","$260,080","$390,120",Signed and Dated,"19.69"" x 27.56""",1963,Pencil  and crayon / Paper,6,"Sotheby's London, New Bond Street",10/07/2016-10/08/2016
Untitled,"$3,418,750","$1,300,400","$1,950,600",Signed and Dated,"60.98"" x 77.99""",1972,Crayon  and graphite / Paper,26,"Christie's London, King Street",10/06/2016
Untitled,-not sold-,"$520,160","$780,240",Signed and Dated,"27.56"" x 39.37""",1964,Pencil  with coloured pencil and ballpoint pen on paper laid down on board / Paper on board,35,"Christie's London, King Street",10/06/2016
UNTITLED,"$118,370","$95,790","$136,840",Inscribed and Signed,"27.83"" x 38.98""",1960,Pencil  and coloured pencil / Paper,144,"Christie's London, King Street",06/30/2016
UNTITLED (ROME),"$959,250","$821,040","$1,094,720",Signed and Dated,"25.67"" x 19.61""",1961,Oil  with wax crayon and pencil / Canvas,7,"Sotheby's London, New Bond Street",06/28/2016
"UNTITLED (CAPTIVA ISLAND, FLORIDA)","$302,420","$136,840","$205,260",Signed and Dated,"29.53"" x 41.73""",1974,Pencil  with wax crayon and paper collage / Paper,31,"Sotheby's London, New Bond Street",06/28/2016
Untitled,"$1,550,180","$561,050","$785,470",Signed and Dated,"27.56"" x 34.45""",1970,Oil  and pencil and oil stick / Paper,15,Christie's Paris,06/08/2016-06/09/2016
